order_id,pizza_id,quantity,order_date,order_time,pizza_type_id,pizza_size,price,name,category,ingredients
1,pizza_hawaiian_l,3,2023-02-09,02:04:41,pizza_hawaiian,L,12.18,Hawaiian,Meat,"tomato sauce, mozzarella, ham, pineapple"
1,pizza_spinach_feta_s,2,2023-02-09,02:04:41,pizza_spinach_feta,S,12.69,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
1,pizza_meat_lovers_m,2,2023-02-09,02:04:41,pizza_meat_lovers,M,12.27,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
1,pizza_supreme_xl,1,2023-02-09,02:04:41,pizza_supreme,XL,10.91,Supreme,Meat,"tomato sauce, mozzarella, pepperoni, sausage, vegetables"
1,pizza_hawaiian_xl,1,2023-02-09,02:04:41,pizza_hawaiian,XL,7.3,Hawaiian,Meat,"tomato sauce, mozzarella, ham, pineapple"
2,pizza_margherita_s,1,2023-02-27,13:07:07,pizza_margherita,S,12.77,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
2,pizza_spinach_feta_m,2,2023-02-27,13:07:07,pizza_spinach_feta,M,6.24,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
2,pizza_spinach_feta_xl,2,2023-02-27,13:07:07,pizza_spinach_feta,XL,5.86,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
2,pizza_bbq_chicken_s,2,2023-02-27,13:07:07,pizza_bbq_chicken,S,10.37,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
3,pizza_veggie_l,1,2023-04-13,22:41:31,pizza_veggie,L,17.9,Veggie,Vegetarian,"tomato sauce, mozzarella, peppers, onions, olives"
3,pizza_bbq_chicken_l,3,2023-04-13,22:41:31,pizza_bbq_chicken,L,16.28,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
3,pizza_bbq_chicken_l,2,2023-04-13,22:41:31,pizza_bbq_chicken,L,16.28,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
3,pizza_mushroom_xl,2,2023-04-13,22:41:31,pizza_mushroom,XL,14.56,Mushroom,Vegetarian,"tomato sauce, mozzarella, mushrooms"
3,pizza_supreme_s,1,2023-04-13,22:41:31,pizza_supreme,S,14.32,Supreme,Meat,"tomato sauce, mozzarella, pepperoni, sausage, vegetables"
4,pizza_buffalo_chicken_m,3,2023-08-18,22:57:52,pizza_buffalo_chicken,M,11.41,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
4,pizza_supreme_s,3,2023-08-18,22:57:52,pizza_supreme,S,14.32,Supreme,Meat,"tomato sauce, mozzarella, pepperoni, sausage, vegetables"
4,pizza_mushroom_xl,3,2023-08-18,22:57:52,pizza_mushroom,XL,14.56,Mushroom,Vegetarian,"tomato sauce, mozzarella, mushrooms"
5,pizza_margherita_xl,3,2023-09-19,17:36:31,pizza_margherita,XL,16.41,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
5,pizza_meat_lovers_s,2,2023-09-19,17:36:31,pizza_meat_lovers,S,9.98,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
5,pizza_meat_lovers_l,3,2023-09-19,17:36:31,pizza_meat_lovers,L,19.65,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
